name,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01
Sonic Mania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,7.0,8989.0,5232.0,1810.0,1395.0,1034.0,1075.0,758.0,811.0,844.0,805.0,696.0,2520.0,1260.0,687.0,547.0,617.0,722.0,716.0,473.0,601.0,535.0,655.0,4695.0,1216.0,722.0,607.0,532.0,612.0,662.0,660.0,1018.0,957.0,776.0,805.0,743.0,823.0,844.0,700.0,759.0,783.0,780.0,1008.0,901.0,786.0
South Park: The Fractured But Whole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18053.0,6535.0,2909.0,2315.0,1425.0,1874.0,1332.0,1086.0,1149.0,1282.0,1682.0,1040.0,822.0,773.0,741.0,801.0,688.0,931.0,776.0,811.0,828.0,1088.0,656.0,828.0,615.0,531.0,779.0,627.0,810.0,917.0,676.0,807.0,707.0,970.0,818.0,779.0,725.0,836.0,827.0,902.0,785.0,1133.0
Special Events,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,2675.0,2447.0,2778.0,2375.0,2175.0,2605.0,2734.0,2567.0,15030.0,1923.0,2552.0,3287.0,2425.0,4454.0,8305.0,4171.0,2754.0,3843.0,3410.0,4834.0,11817.0,8927.0,7027.0,9399.0,4720.0,4192.0,12314.0,4758.0,10557.0,4770.0
Spellbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,36.0,25.0,28.0,5735.0,4312.0,2056.0,1774.0,1468.0,771.0,635.0,387.0,1048.0,746.0,580.0,83.0,22.0,3119.0,1917.0,1896.0,1457.0,1668.0,92.0,64245.0,13047.0,4565.0,7972.0,10546.0,5055.0,4058.0
Splitgate: Arena Warfare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,47.0,16.0,2.0,70.0,152.0,37.0,221.0,62.0,185.0,131.0,72.0,385.0,63.0,213.0,1.0,221.0,1266.0,16224.0,7526.0,1544.0,973.0,1044.0,620.0,584.0,595.0,692.0,529.0,600.0,519.0,552.0,531.0,580.0,551.0,368.0,422.0,711.0,811.0,835.0,742.0,984.0
Spyro Reignited Trilogy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,3.0,17693.0,7886.0,4765.0,2648.0,2386.0,2005.0,1905.0,1603.0,1357.0,1254.0,4660.0,4202.0,3014.0,2307.0,2265.0,2209.0,2257.0,2444.0,2155.0,2246.0,2642.0,2172.0,2081.0,1709.0,1993.0,2303.0,2023.0,0.0,0.0
Star Wars Battlefront,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9751.0,5623.0,3413.0,3790.0,5283.0,5482.0,4521.0,4319.0,4509.0,3413.0,2281.0,1454.0,1066.0,808.0,764.0,808.0,906.0,911.0,630.0,520.0,385.0,414.0,340.0,188.0,200.0,214.0,299.0,318.0,316.0,291.0,250.0,211.0,160.0,127.0,230.0,352.0,335.0,275.0,291.0,299.0,410.0,313.0,307.0,326.0,302.0,322.0,580.0,720.0,844.0,618.0,526.0
Star Wars Battlefront II,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,7.0,4.0,6.0,2.0,7.0,6.0,2.0,83.0,288.0,253.0,185.0,156.0,134.0,17471.0,21146.0,15264.0,12108.0,6924.0,7234.0,7020.0,6565.0,5819.0,4974.0,5664.0,4669.0,4680.0,5967.0,6009.0,5863.0,4628.0,7329.0,9070.0,8190.0,6625.0,6896.0,6423.0,6059.0,5193.0,5906.0,14927.0,18585.0,9982.0,8730.0,7239.0,12045.0,20210.0,12159.0,8064.0,7538.0,6314.0,8855.0,13298.0,61994.0,28088.0,16248.0
Star Wars Jedi: Fallen Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.0,38.0,3.0,1.0,3.0,11.0,49245.0,29687.0,17146.0,6718.0,6229.0,5710.0,10383.0,6283.0,5612.0,4400.0,3570.0,3482.0,12415.0,12582.0,12200.0,8945.0,7750.0
Star Wars: Battlefront,30845.0,18427.0,15062.0,12004.0,11826.0,9233.0,10489.0,8196.0,8265.0,6738.0,4941.0,1405.0,31.0,28.0,15.0,19.0,26.0,33.0,31.0,17.0,23.0,15.0,18.0,20.0,23.0,20.0,7.0,22.0,32.0,30.0,197.0,462.0,331.0,360.0,335.0,397.0,329.0,261.0,274.0,301.0,374.0,296.0,227.0,191.0,164.0,138.0,252.0,372.0,307.0,212.0,210.0,225.0,445.0,230.0,221.0,191.0,140.0,92.0,70.0,102.0,157.0,79.0,66.0
